term_localName,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
RangePosition,range position,"Range position if this attribution is the earliest, midway or latest in a possible range.",,,It is not always clear what zone a particular taxon belongs to and therefore a range may be needed.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
RelationshipToOverlyingLayer,relationship to overlying layer,Free text to record any observed relationship with overlying layer,,,groove casts infilled by overlying sediment.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
RelationshipToUnderlyingLayer,relationship to underlying layer,Free text to describe relationship to underlying strata/layer,,,unconformable and cross cuts strata or base of bed includes clasts of underlying sediment,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ReplacementMinerals,replacement minerals,List of replacement minerals in the specimen,,,silica,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
RockMineralUsage,rock mineral usage,Description of the use to which this mineral or rock has been put,,,"building stone, ore, sculpture, cut gemstone.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
RockPhysicalCharacteristics,rock physical characteristics,Container for descriptive terms and measurements related to rocks,,,"grain size, grain sphericity, crystal sizes and orientations, laminations etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
RockType,rock type,For simple classification,,,"igneous, metamorphic, sedimentary or meteorite - enumeration list is provisional!",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
RockUnit,rock unit,Container element for attributes restricted to rocks,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SampleGUID,sample g u i d,A unique identifier for another Unit Record in ABCD,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SampleRef,sample ref,Identifier for this sample,,,"field log sample number, registration number or similar",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SampleText,sample text,Short description of sample  - longer descriptions should be treated under separate unit records.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SampleType,sample type,What sort of sample this is. Could be an enumerated list,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
ScientificNameString,scientific name string,Equivalent of Scientific Name but minerals and rocks do not use binomials,,,"Quartz, Fluorite etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SectionIDNumber,section i d number,"Unique identifying code or number for this section, borehole or well",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SectionLog,section log,"Container for the layer by layer description of the section, borehole or well. The layers or subdivisions are referred as SectionUnits - these represent layers, strata, beds, ore bodies, intrusive bodies etc. that might be recorded in a section or borehole. A SectionUnit or layer is also regarded as that which is recorded as a coherent sub-unit of the whole section or borehole. It may therefore be a single bed, a series of beds with similar characteristics or an unlayered body such as an igneous intrusion.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SectionName,section name,The name for the section,,,"Vallis Vale, Hapsford Bridge Section or it could be a borehole unique name. This may be different from the locality name.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
SectionUnitDatum,section unit datum,Text for where the measurement is taken,,,top of bed or bottom of bed.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
